date,submit_ts,symbol,qty,intended_px,bid,ask,mid,spread_bps,fill_avg,slip_vs_intended_bps,slip_vs_mid_bps,order_id
2026-08-17,2026-08-17T09:44:05-04:00,EYPT,448,4.46,4.4,4.42,4.41,45.4,4.42,-89.7,22.7,b26b36de-189c-4fbb-b034-8f2073d1c3f2
2026-08-17,2026-08-17T09:44:05-04:00,HTZ,896,2.23,2.21,2.22,2.215,45.1,2.22,-44.8,22.6,f5543f98-9412-49c7-aafd-aa55021174c3
2026-08-17,2026-08-17T09:44:05-04:00,OCUL,187,10.67,10.62,10.7,10.66,75.0,10.7071,34.8,44.2,2eb3ee4b-329a-4955-889d-7f73253c057a
2026-08-18,2026-08-18T09:44:05-04:00,PONY,263,7.59,7.58,7.59,7.585,13.2,7.59,0.0,6.6,b67aecc5-7b71-4d96-8b4c-d45bb32e9b11
2026-08-18,2026-08-18T09:44:05-04:00,DUOT,162,12.33,10.5,12.38,11.44,1643.4,12.38,40.6,821.7,d5bc8cd5-b63a-46b2-8728-868067e3b293
2026-08-18,2026-08-18T09:44:05-04:00,KLAR,127,15.715,15.7,15.72,15.71,12.7,15.72,3.2,6.4,193ea870-6e68-4865-bdc4-55636ffa183c
2026-08-19,2026-08-19T09:44:05-04:00,TOYO,449,4.45,4.36,4.45,4.405,204.3,4.449,-2.2,100.0,76a70d07-42b0-42e5-87f1-a7fb4c6f5c4a
2026-08-19,2026-08-19T09:44:05-04:00,IOVA,259,7.71,7.69,7.72,7.705,38.9,7.72,13.0,19.5,c1a10242-5e83-471f-a3f6-7346a8fcb3b2
2026-08-19,2026-08-19T09:44:05-04:00,BULL,249,8.005,8.0,8.01,8.005,12.5,8.01,6.2,6.2,2624d0e5-50a9-4de3-ac5e-eb45ce3223a7
2026-08-20,2026-08-20T09:44:08-04:00,HTZ,934,2.14,2.13,2.14,2.135,46.8,2.14,0.0,23.4,3db08b05-9db2-4187-a398-cfb168f58353
2026-08-20,2026-08-20T09:44:08-04:00,PURR,209,9.565,9.55,9.58,9.565,31.4,9.59,26.1,26.1,35c91155-1163-4a60-bd22-b8e02031187c
2026-08-21,2026-08-21T09:44:08-04:00,RUM,233,8.57,8.54,8.58,8.56,46.7,8.58,11.7,23.4,318a1ed6-fdb2-43b3-ba91-665568c1ff26
2026-08-24,2026-08-24T09:44:07-04:00,CAPR,309,6.46,5.55,6.49,6.02,1561.5,6.49,46.4,780.7,e004e30c-8cf8-46c0-bbd3-c8ff24084289
2026-08-25,2026-08-25T09:44:09-04:00,HTZ,917,2.18,2.17,2.18,2.175,46.0,2.18,0.0,23.0,7348c4a0-d652-4687-9880-467cbe6e8337
2026-08-25,2026-08-25T09:44:09-04:00,UAMY,391,5.115,5.1,5.11,5.105,19.6,5.11,-9.8,9.8,b872eb7a-f2bc-4b51-8cf6-895766167b6a
2026-08-25,2026-08-25T09:44:10-04:00,PURR,184,10.855,10.84,10.86,10.85,18.4,10.86,4.6,9.2,8ef845f8-4e7a-4160-a127-aa258f21215d
2026-08-26,2026-08-26T09:44:06-04:00,CRML,243,8.2,8.18,8.21,8.195,36.6,8.21,12.2,18.3,9f82e7f7-5c03-484f-97b3-df7e4aede708
2026-08-26,2026-08-26T09:44:06-04:00,KSS,123,16.225,16.34,16.41,16.375,42.7,16.3677,88.0,-4.4,17cd6441-f45a-4546-af5a-80f69a413a0d
2026-08-26,2026-08-26T09:44:06-04:00,SMR,198,10.06,10.05,10.06,10.055,9.9,10.06,0.0,5.0,6936b9cb-0f68-4f23-8b0f-7b9b7ad34b95
2026-08-27,2026-08-27T09:44:06-04:00,AI,195,10.22,10.22,10.24,10.23,19.6,10.23,9.8,0.0,9f9bdebd-80bf-46fc-993a-20e27e14d69e
2026-08-27,2026-08-27T09:44:06-04:00,RCAT,219,9.13,9.15,9.18,9.165,32.7,9.17,43.8,5.5,769501fe-3497-4d96-9f13-a6c833c96e66
2026-08-28,2026-08-28T09:44:07-04:00,AGEN,255,7.84,7.81,7.85,7.83,51.1,7.85,12.8,25.5,ec7659ed-74cd-44da-ae36-8a7f6fcea935
2026-08-28,2026-08-28T09:44:07-04:00,SLS,139,14.37,14.36,14.43,14.395,48.6,14.37,0.0,-17.4,edce9b29-4d0d-43ce-8f8f-2c2e0845a69a
2026-09-01,2026-09-01T09:44:08-04:00,HTZ,913,2.19,2.19,2.2,2.195,45.6,2.2,45.7,22.8,b602a2e5-4488-4c8f-901b-829894518a5b
2026-09-01,2026-09-01T09:44:08-04:00,INFQ,158,12.61,12.6,12.62,12.61,15.9,12.6206,8.4,8.4,a7b9004f-4aa2-4a9c-8d97-3a4c81237ca4
2026-09-01,2026-09-01T09:44:08-04:00,PL,102,19.425,19.39,19.44,19.415,25.8,19.44,7.7,12.9,23656e72-46f9-49d0-9057-ae6d7ad1bf60
